experiment,backbone,K,image_size,tau,epoch,train_loss,fg_ari,metal_ari,rubber_ari,n_valid
existing_K11,dinov2_vits14,11,224,0.5,195,0.9073882043361664,0.5520502560288554,0.5617374564984362,0.5219701720284069,300
existing_K11,dino_vits16,11,224,0.5,199,0.26911756843328477,0.14095487503450735,0.13254279893255388,0.14245739249638237,300
existing_K11,clip_vitb16,11,224,0.5,4,0.05747055932879448,0.10927816614694234,0.1494970117656822,0.1541274197604303,300
k_sweep,dinov2_vits14,3,224,0.5,198,0.9661631345748901,0.3550420979111874,0.4155470021460937,0.3857249786541571,300
k_sweep,dinov2_vits14,5,224,0.5,199,0.9175939559936523,0.34937888272491224,0.38999542598011905,0.3715169670105737,300
k_sweep,dinov2_vits14,7,224,0.5,192,0.9053704559803009,0.4575801316060368,0.49630743600999633,0.4650636028278459,300
k_sweep,dinov2_vits14,9,224,0.5,182,0.9204317808151246,0.6464130570139381,0.678791014139368,0.607568232971188,300
k_sweep,dinov2_vits14,11,224,0.5,191,0.9145502090454102,0.5967558956234321,0.5939582167261752,0.5725661327582485,300
k_sweep,dinov2_vits14,13,224,0.5,194,0.9134676873683929,0.6076012857365758,0.6226657570746534,0.5626079472269913,300
k_sweep,dino_vits16,3,224,0.5,198,0.38154399394989014,0.10550094799329329,0.1156315909648256,0.13052989074922097,300
k_sweep,dino_vits16,5,224,0.5,198,0.28336663991212846,0.4009408799928195,0.4725207741120501,0.40835844029994584,300
k_sweep,dino_vits16,7,224,0.5,184,0.3223918706178665,0.3080012214873524,0.31837029672154576,0.3584184446570519,300
k_sweep,dino_vits16,9,224,0.5,190,0.3158758103847504,0.17784205971149764,0.19385864188868754,0.20759782470991814,300
k_sweep,dino_vits16,11,224,0.5,198,0.2799108773469925,0.11580508582187458,0.17465636706300255,0.147777287621839,300
k_sweep,dino_vits16,13,224,0.5,186,0.3032368630170822,0.2935018282675531,0.3433481881576564,0.3412136494311731,300
k_sweep,clip_vitb16,3,224,0.5,4,0.06359992995858192,0.07872373092907817,0.09858348099327971,0.09957568501453995,300
k_sweep,clip_vitb16,5,224,0.5,9,0.07929071635007859,0.1489222564402834,0.1765529902206069,0.17869863651172704,300
k_sweep,clip_vitb16,7,224,0.5,4,0.06344404444098473,0.11748974379608533,0.15173883831283372,0.15220123042287034,300
k_sweep,clip_vitb16,9,224,0.5,8,0.06815093979239464,0.0789052583429707,0.10334618533241752,0.11701058655844847,300
k_sweep,clip_vitb16,11,224,0.5,5,0.07679483219981194,0.15422113165823967,0.19721874447653226,0.1811398474455581,300
k_sweep,clip_vitb16,13,224,0.5,10,0.0586141649633646,0.1796451097962475,0.2108241739435146,0.21552110225736804,300
tau_sweep,dinov2_vits14,11,224,0.1,185,0.9117635369300843,0.3031296287880361,0.32668054335460595,0.3012951762578593,300
tau_sweep,dinov2_vits14,11,224,0.3,194,0.8902839243412017,0.5787266747180152,0.5793939552148728,0.5498157508456022,300
tau_sweep,dinov2_vits14,11,224,0.5,194,0.9582598030567169,0.5820550405541557,0.5806298126905172,0.5466040128251936,300
tau_sweep,dinov2_vits14,11,224,0.7,197,0.8639782011508942,0.6189666465989502,0.6216803765006116,0.5847160932067469,300
tau_sweep,dinov2_vits14,11,224,1.0,185,0.8816586196422577,0.4789775226567816,0.5195922546369853,0.4767394774329904,300
tau_sweep,dinov2_vits14,11,448,0.1,188,1.0132090025826503,0.1760345999343879,0.22429065431700654,0.15425319993695755,300
tau_sweep,dinov2_vits14,11,448,0.3,64,1.3889045746702897,0.4151156100420741,0.44709018254876615,0.39186627881576963,300
