scene_id,mean_consistency,n_objects,slot_stability_mean,slot_stability_std
0,0.4940263759956864,8,11.547769920300967,2.5206909061921876
1,0.4293478086692518,5,15.746677738888764,4.6581698693859295
2,0.35846924538058034,6,18.17830533875232,2.8690560328549957
3,0.40239301174798436,4,11.002222072213945,3.085129129341106
4,0.35812740493343326,8,11.211700984407829,2.401939702757697
5,0.4138101677055287,7,11.267690793003046,4.561735569604688
6,0.41153450414132187,8,13.215029206483937,2.9595426101196947
7,0.3857604805297728,5,14.738567935396093,3.7263776694306996
8,0.3813753529513086,4,11.651901862109778,1.4502022571813864
9,0.4360168565545397,10,13.005335244466801,4.199150400550369
10,0.4730798097032952,7,11.914279368455382,3.0182030322899305
11,0.38164026810277657,10,10.286417355579125,4.0323988685772285
12,0.4336150194833816,10,12.679171609009593,6.013875271014667
13,0.46375467238291035,7,12.243690813102193,2.869541443656844
14,0.38898154332020257,8,10.947369863723365,4.442334284083633
15,0.35581960823660685,6,12.362222772764648,2.6683300867979822
16,0.46379888966734073,10,13.190320792701634,7.116678658607206
17,0.39291707162743406,10,13.597612497439632,3.977387382553641
18,0.3816054663088505,8,13.005041489485585,1.4342322744961253
19,0.4605542037434706,6,10.872606376322514,4.674897735109977
20,0.42080269726905994,8,12.870910305104864,4.4143972266055425
21,0.3950069989732692,10,12.394928596156223,5.015563422225879
22,0.41543604195384864,5,12.949347810182308,2.889120139742269
23,0.43738268807205805,3,12.491652709291165,2.9078741969186717
24,0.4226339901241861,3,9.970543937369403,3.938213299825849
25,0.4005503367618541,8,13.663237231717472,5.646461280406227
26,0.42143486167028676,3,14.656855084067164,5.05541804972154
27,0.4448602718315908,5,11.638228064806075,5.148100242032165
28,0.3711998669550783,6,13.026825944611009,5.180081267026115
29,0.4016996907166152,5,11.42671542620828,3.6310175782997836
30,0.36553211205343034,4,18.967760706486995,9.185646934996091
31,0.40288316261937046,5,10.402193558378565,2.8416842218459406
32,0.4433884379523568,10,12.598844184264108,3.7044919388862265
33,0.44291235539814905,4,10.770465720219923,2.9976687280309138
34,0.44322838932481745,9,10.454909552091305,2.498670995558016
35,0.44863881961753,5,12.553010542998743,4.129789998048703
36,0.36773921573036167,3,13.01100744146529,3.96352260987712
37,0.3983745829011029,9,10.73084989041946,4.934054418446293
38,0.4306984669196285,9,11.43147683840368,2.2410998565186966
39,0.3617208531140145,9,10.323398740370193,2.5404157400891494
